customer_id,first_name,last_name,email,signup_date,region,acquisition_cahnnel,is_active
63,Hayden,Jones,hayden.jones3178@realemail.com,2024-03-12,US,Direct,false
64,Morgan,Jones,morgan.jones1268@realemail.com,2024-02-21,CA,Influencer,true
65,Avery,Jackson,avery.jackson1704@realemail.com,2021-01-21,IN,Referral,true
66,Jesse,Martin,jesse.martin8065@realemail.com,2021-04-01,EU,Paid Social,true
67,Taylor,Wilson,taylor.wilson9392@realemail.com,2021-07-07,UK,Referral,true
68,Kai,Jones,kai.jones4954@realemail.com,2022-05-06,US,Organic Search,true
69,Sage,Miller,sage.miller7508@realemail.com,2020-03-16,EU,Direct,true
70,Morgan,Gonzalez,morgan.gonzalez6250@realemail.com,2024-09-25,AU,Direct,false
71,Drew,Moore,drew.moore9093@realemail.com,2023-01-03,AU,Referral,false
72,Jamie,Moore,jamie.moore5768@realemail.com,2020-04-05,EU,Email,true
73,Logan,Anderson,logan.anderson6535@realemail.com,2022-03-14,EU,Email,true
74,Sage,Taylor,sage.taylor0711@realemail.com,2024-06-19,CA,Organic Search,true
75,Rowan,Jones,rowan.jones1056@realemail.com,2023-09-28,AU,Referral,true
76,Sage,Lopez,sage.lopez4425@realemail.com,2020-04-05,EU,Paid Social,true
77,Jamie,Davis,jamie.davis7296@realemail.com,2020-08-10,UK,Organic Search,true
78,Taylor,Davis,taylor.davis3106@realemail.com,2021-12-06,AU,Influencer,true
79,Elliot,Lopez,elliot.lopez0004@realemail.com,2021-01-19,CA,Email,true
80,Alex,Gonzalez,alex.gonzalez7767@realemail.com,2023-10-03,CA,Email,true
81,Quinn,Smith,quinn.smith8491@realemail.com,2023-12-12,CA,Influencer,true
82,Elliot,Rodriguez,elliot.rodriguez9214@realemail.com,2024-07-28,AU,Email,true
83,Quinn,Martin,quinn.martin1255@realemail.com,2023-12-05,AU,Referral,true
84,Drew,Smith,drew.smith2609@realemail.com,2023-06-03,UK,Email,true
85,Taylor,Johnson,taylor.johnson5694@realemail.com,2023-12-25,CA,Referral,true
86,Riley,Hernandez,riley.hernandez1580@realemail.com,2023-05-01,EU,Influencer,true
87,Rowan,Brown,rowan.brown9442@realemail.com,2020-07-02,US,Email,true
88,Alex,Johnson,alex.johnson9325@realemail.com,2022-09-06,UK,Email,true
89,Cameron,Gonzalez,cameron.gonzalez1099@realemail.com,2023-05-30,UK,Referral,true
90,Jamie,Gonzalez,jamie.gonzalez5118@realemail.com,2023-03-20,EU,Influencer,false
91,Kai,Lopez,kai.lopez3346@realemail.com,2021-02-04,EU,Email,false
92,Avery,Martin,avery.martin3627@realemail.com,2022-02-01,UK,Organic Search,true
93,Casey,Lopez,casey.lopez0341@realemail.com,2025-01-01,IN,Influencer,false
94,Kai,Williams,kai.williams4411@realemail.com,2022-05-03,AU,Referral,true
95,Sam,Jones,sam.jones8160@realemail.com,2024-12-04,US,Organic Search,true
96,Quinn,Jackson,quinn.jackson4659@realemail.com,2020-01-17,AU,Email,true
97,Taylor,Miller,taylor.miller6514@realemail.com,2022-02-03,EU,Referral,false
98,Casey,Williams,casey.williams6250@realemail.com,2023-08-18,EU,Direct,true
99,Alex,Martin,alex.martin1980@realemail.com,2024-04-21,AU,Influencer,true
100,Jesse,Johnson,jesse.johnson1786@realemail.com,2022-03-02,EU,Direct,true
101,Casey,Wilson,casey.wilson9846@realemail.com,2020-06-27,CA,Direct,true
102,Quinn,Rodriguez,quinn.rodriguez7204@realemail.com,2021-11-23,EU,Organic Search,true
103,Kai,Anderson,kai.anderson3658@realemail.com,2023-09-01,IN,Email,true
104,Skyler,Jones,skyler.jones3051@realemail.com,2022-11-08,EU,Referral,true
105,Sage,Wilson,sage.wilson2238@realemail.com,2021-01-05,UK,Paid Social,false
106,Morgan,Jones,morgan.jones3696@realemail.com,2022-12-24,UK,Paid Social,true
107,Rowan,Martinez,rowan.martinez8162@realemail.com,2021-06-03,US,Email,true
108,Jesse,Thomas,jesse.thomas9089@realemail.com,2023-08-01,US,Influencer,true
109,Elliot,Lopez,elliot.lopez1641@realemail.com,2022-05-13,EU,Email,true
110,Skyler,Lopez,skyler.lopez0930@realemail.com,2024-06-09,AU,Email,false
111,Sage,Jackson,sage.jackson5411@realemail.com,2020-04-13,AU,Email,false
112,Logan,Moore,logan.moore7003@realemail.com,2022-05-05,EU,Organic Search,true
113,Kai,Williams,kai.williams7112@realemail.com,2023-11-01,IN,Referral,true
114,Taylor,Garcia,taylor.garcia5249@realemail.com,2020-09-29,US,Paid Social,true
115,Morgan,Miller,morgan.miller3936@realemail.com,2021-10-26,AU,Influencer,false
116,Elliot,Martin,elliot.martin3837@realemail.com,2021-05-12,US,Influencer,true
117,Quinn,Smith,quinn.smith5894@realemail.com,2024-05-07,IN,Referral,true
118,Kai,Anderson,kai.anderson7603@realemail.com,2021-12-19,EU,Referral,true
119,Taylor,Thomas,taylor.thomas4888@realemail.com,2021-03-27,EU,Organic Search,true
120,Quinn,Miller,quinn.miller6364@realemail.com,2020-12-30,US,Referral,true
121,Taylor,Brown,taylor.brown9341@realemail.com,2023-08-24,UK,Referral,true
122,Quinn,Anderson,quinn.anderson1148@realemail.com,2020-08-24,UK,Influencer,true
123,Skyler,Hernandez,skyler.hernandez4897@realemail.com,2024-01-11,EU,Paid Social,true
124,Jamie,Martinez,jamie.martinez0288@realemail.com,2023-04-02,CA,Email,true
125,Riley,Hernandez,riley.hernandez6404@realemail.com,2023-03-26,EU,Direct,false
126,Kai,Brown,kai.brown1301@realemail.com,2020-06-14,US,Referral,true
127,Skyler,Jones,skyler.jones9937@realemail.com,2023-01-10,AU,Referral,true
128,Sam,Garcia,sam.garcia8423@realemail.com,2021-08-17,EU,Direct,true
129,Casey,Taylor,casey.taylor5694@realemail.com,2023-06-06,CA,Email,true
130,Jamie,Johnson,jamie.johnson5704@realemail.com,2023-01-25,CA,Influencer,true
131,Morgan,Lopez,morgan.lopez0241@realemail.com,2023-08-06,US,Direct,true
132,Logan,Rodriguez,logan.rodriguez5042@realemail.com,2020-02-21,AU,Email,true
133,Morgan,Jackson,morgan.jackson0322@realemail.com,2021-05-20,CA,Email,true
134,Alex,Miller,alex.miller8493@realemail.com,2020-05-02,US,Paid Social,true
135,Alex,Taylor,alex.taylor2419@realemail.com,2022-05-13,US,Referral,false
136,Jamie,Anderson,jamie.anderson5313@realemail.com,2023-03-06,AU,Influencer,false
137,Riley,Johnson,riley.johnson4507@realemail.com,2020-12-18,US,Direct,true
138,Kai,Williams,kai.williams5845@realemail.com,2021-01-08,EU,Direct,false
139,Sage,Davis,sage.davis9766@realemail.com,2023-04-28,UK,Paid Social,false
140,Kai,Davis,kai.davis4222@realemail.com,2024-04-08,EU,Organic Search,true
141,Jordan,Lopez,jordan.lopez8831@realemail.com,2022-08-28,EU,Direct,true
142,Elliot,Davis,elliot.davis8720@realemail.com,2021-08-13,AU,Referral,true
143,Taylor,Martinez,taylor.martinez8143@realemail.com,2024-08-20,US,Referral,true
144,Casey,Miller,casey.miller1070@realemail.com,2024-09-09,AU,Referral,true
145,Kai,Brown,kai.brown8269@realemail.com,2023-01-10,UK,Organic Search,true
146,Hayden,Lopez,hayden.lopez6351@realemail.com,2023-05-17,UK,Organic Search,true
147,Avery,Jackson,avery.jackson1005@realemail.com,2023-01-17,US,Paid Social,false
148,Sam,Williams,sam.williams7563@realemail.com,2020-12-27,IN,Email,true
149,Jordan,Hernandez,jordan.hernandez9382@realemail.com,2020-08-15,IN,Referral,true
150,Jamie,Anderson,jamie.anderson4813@realemail.com,2023-06-02,EU,Paid Social,true
151,Hayden,Williams,hayden.williams3751@realemail.com,2021-10-31,AU,Direct,true
152,Logan,Rodriguez,logan.rodriguez3738@realemail.com,2022-01-21,EU,Paid Social,true
153,Sam,Davis,sam.davis4001@realemail.com,2020-01-07,CA,Email,true
154,Jamie,Lopez,jamie.lopez6821@realemail.com,2020-05-01,US,Email,true
155,Logan,Moore,logan.moore9512@realemail.com,2023-12-23,IN,Direct,false
156,Kai,Hernandez,kai.hernandez1946@realemail.com,2023-03-23,UK,Email,true
157,Rowan,Jackson,rowan.jackson0139@realemail.com,2020-05-12,IN,Influencer,false
158,Quinn,Rodriguez,quinn.rodriguez6298@realemail.com,2021-10-25,CA,Direct,true
159,Casey,Johnson,casey.johnson4544@realemail.com,2020-04-24,UK,Paid Social,true
160,Casey,Thomas,casey.thomas6839@realemail.com,2022-04-09,US,Email,true
161,Morgan,Jackson,morgan.jackson2349@realemail.com,2020-09-12,IN,Organic Search,true
162,Quinn,Gonzalez,quinn.gonzalez2786@realemail.com,2021-03-21,EU,Direct,false
163,Kai,Brown,kai.brown3996@realemail.com,2023-02-18,AU,Email,true
164,Elliot,Garcia,elliot.garcia1082@realemail.com,2021-05-04,AU,Referral,false
165,Logan,Gonzalez,logan.gonzalez0936@realemail.com,2020-02-11,IN,Referral,true
166,Taylor,Johnson,taylor.johnson1614@realemail.com,2024-03-21,AU,Referral,true
167,Drew,Jones,drew.jones8935@realemail.com,2021-03-20,US,Influencer,true
168,Kai,Moore,kai.moore4576@realemail.com,2020-11-23,AU,Email,true
169,Avery,Wilson,avery.wilson9612@realemail.com,2020-01-25,US,Organic Search,true
170,Avery,Wilson,avery.wilson5220@realemail.com,2021-12-04,AU,Referral,true
171,Jamie,Garcia,jamie.garcia3399@realemail.com,2021-10-02,AU,Organic Search,true
172,Cameron,Moore,cameron.moore8531@realemail.com,2021-08-15,EU,Direct,true
173,Rowan,Wilson,rowan.wilson9013@realemail.com,2022-04-14,UK,Organic Search,false
174,Kai,Taylor,kai.taylor8949@realemail.com,2023-04-14,CA,Paid Social,true
175,Sam,Brown,sam.brown7151@realemail.com,2020-05-04,US,Organic Search,true
176,Hayden,Jones,hayden.jones5837@realemail.com,2020-04-04,CA,Paid Social,true
177,Rowan,Moore,rowan.moore0247@realemail.com,2024-08-11,IN,Influencer,true
178,Jesse,Lopez,jesse.lopez8037@realemail.com,2024-06-01,AU,Organic Search,true
179,Avery,Rodriguez,avery.rodriguez9315@realemail.com,2020-10-30,AU,Direct,true
180,Logan,Johnson,logan.johnson8571@realemail.com,2023-11-20,IN,Paid Social,false
181,Taylor,Brown,taylor.brown2409@realemail.com,2021-07-05,EU,Paid Social,true
182,Rowan,Wilson,rowan.wilson7757@realemail.com,2021-10-29,UK,Paid Social,true
183,Casey,Jones,casey.jones9693@realemail.com,2024-04-08,IN,Direct,true
184,Jesse,Williams,jesse.williams2416@realemail.com,2020-01-03,EU,Email,true
185,Taylor,Johnson,taylor.johnson1760@realemail.com,2024-12-04,UK,Paid Social,true
186,Logan,Martinez,logan.martinez3954@realemail.com,2022-06-03,US,Referral,true
187,Drew,Jones,drew.jones5737@realemail.com,2020-12-07,UK,Referral,false
188,Jamie,Thomas,jamie.thomas9404@realemail.com,2023-01-09,US,Paid Social,true
189,Alex,Taylor,alex.taylor5240@realemail.com,2021-08-17,EU,Email,true
190,Elliot,Thomas,elliot.thomas5873@realemail.com,2024-10-12,AU,Paid Social,true
191,Quinn,Anderson,quinn.anderson0628@realemail.com,2020-06-20,UK,Referral,true
192,Sage,Rodriguez,sage.rodriguez8889@realemail.com,2023-11-27,CA,Paid Social,true
193,Rowan,Moore,rowan.moore7934@realemail.com,2022-08-24,IN,Influencer,true
194,Kai,Hernandez,kai.hernandez6090@realemail.com,2023-11-07,EU,Organic Search,true
195,Jamie,Lopez,jamie.lopez5451@realemail.com,2021-12-08,UK,Referral,true
196,Avery,Taylor,avery.taylor4439@realemail.com,2022-09-13,AU,Influencer,true
197,Avery,Rodriguez,avery.rodriguez1492@realemail.com,2020-08-11,EU,Referral,true
198,Logan,Garcia,logan.garcia0699@realemail.com,2020-12-17,US,Paid Social,true
199,Quinn,Moore,quinn.moore8860@realemail.com,2020-03-17,US,Email,true
200,Logan,Thomas,logan.thomas6866@realemail.com,2024-08-17,IN,Organic Search,false
201,Jamie,Miller,jamie.miller2064@realemail.com,2022-10-13,IN,Paid Social,true
202,Taylor,Lopez,taylor.lopez1043@realemail.com,2021-05-06,AU,Paid Social,true
203,Rowan,Smith,rowan.smith7902@realemail.com,2020-11-07,CA,Organic Search,true
204,Drew,Jackson,drew.jackson1547@realemail.com,2024-06-25,IN,Organic Search,true
205,Casey,Gonzalez,casey.gonzalez4488@realemail.com,2021-05-18,AU,Email,true
206,Jesse,Johnson,jesse.johnson2928@realemail.com,2024-03-02,UK,Referral,true
207,Jordan,Martin,jordan.martin7643@realemail.com,2021-12-29,UK,Direct,true
208,Taylor,Garcia,taylor.garcia8554@realemail.com,2021-07-29,AU,Referral,false
209,Sam,Hernandez,sam.hernandez1438@realemail.com,2020-05-01,EU,Organic Search,true
210,Sage,Anderson,sage.anderson7133@realemail.com,2021-10-06,IN,Referral,true
211,Jamie,Anderson,jamie.anderson4465@realemail.com,2021-11-19,UK,Paid Social,true
212,Avery,Thomas,avery.thomas5293@realemail.com,2023-05-07,CA,Organic Search,false
213,Kai,Hernandez,kai.hernandez1907@realemail.com,2022-02-13,US,Direct,true
214,Sage,Miller,sage.miller9806@realemail.com,2020-07-23,UK,Referral,true
215,Sam,Jones,sam.jones8794@realemail.com,2024-06-27,IN,Email,true
216,Skyler,Garcia,skyler.garcia4841@realemail.com,2021-11-22,EU,Influencer,true
217,Sam,Martin,sam.martin7609@realemail.com,2023-11-06,CA,Referral,true
218,Riley,Lopez,riley.lopez7107@realemail.com,2020-09-22,EU,Referral,true
219,Drew,Martin,drew.martin9391@realemail.com,2021-11-02,US,Organic Search,false
220,Taylor,Garcia,taylor.garcia3698@realemail.com,2020-02-08,CA,Influencer,false
221,Sage,Thomas,sage.thomas8809@realemail.com,2024-11-22,AU,Referral,false
222,Quinn,Hernandez,quinn.hernandez9027@realemail.com,2024-11-22,US,Referral,true
223,Riley,Johnson,riley.johnson8678@realemail.com,2024-10-01,IN,Organic Search,false
224,Riley,Brown,riley.brown6225@realemail.com,2020-01-22,UK,Paid Social,true
225,Drew,Smith,drew.smith6657@realemail.com,2021-09-22,IN,Paid Social,true
226,Sage,Brown,sage.brown4575@realemail.com,2020-08-07,CA,Influencer,true
227,Cameron,Smith,cameron.smith6479@realemail.com,2023-02-05,IN,Organic Search,false
228,Morgan,Garcia,morgan.garcia5071@realemail.com,2021-10-15,US,Email,true
229,Cameron,Martinez,cameron.martinez2655@realemail.com,2021-11-26,IN,Direct,true
230,Drew,Hernandez,drew.hernandez8110@realemail.com,2020-12-11,EU,Influencer,true
231,Hayden,Gonzalez,hayden.gonzalez8786@realemail.com,2024-05-17,UK,Paid Social,true
232,Rowan,Garcia,rowan.garcia0395@realemail.com,2022-07-16,US,Influencer,true
233,Skyler,Williams,skyler.williams8350@realemail.com,2021-06-04,US,Direct,true
234,Rowan,Wilson,rowan.wilson3402@realemail.com,2020-09-04,US,Paid Social,false
235,Hayden,Anderson,hayden.anderson1746@realemail.com,2023-03-28,UK,Paid Social,true
236,Logan,Brown,logan.brown0445@realemail.com,2023-10-16,UK,Email,true
237,Avery,Smith,avery.smith7882@realemail.com,2023-05-15,IN,Referral,true
238,Jesse,Hernandez,jesse.hernandez1833@realemail.com,2021-05-12,IN,Influencer,true
239,Rowan,Rodriguez,rowan.rodriguez4214@realemail.com,2020-11-19,US,Referral,true
240,Taylor,Gonzalez,taylor.gonzalez3210@realemail.com,2022-07-15,UK,Paid Social,true
241,Kai,Miller,kai.miller6303@realemail.com,2023-10-28,US,Organic Search,true
242,Skyler,Wilson,skyler.wilson8659@realemail.com,2020-05-28,CA,Influencer,true
243,Taylor,Williams,taylor.williams0766@realemail.com,2024-04-23,AU,Referral,true
244,Quinn,Hernandez,quinn.hernandez7377@realemail.com,2020-09-04,UK,Email,true
245,Morgan,Hernandez,morgan.hernandez4358@realemail.com,2023-08-16,AU,Organic Search,true
246,Sam,Anderson,sam.anderson2876@realemail.com,2021-01-18,EU,Organic Search,true
247,Alex,Gonzalez,alex.gonzalez2165@realemail.com,2020-09-15,IN,Referral,false
248,Casey,Lopez,casey.lopez1524@realemail.com,2024-06-15,AU,Organic Search,true
249,Hayden,Hernandez,hayden.hernandez1515@realemail.com,2023-11-13,CA,Referral,true
250,Jesse,Hernandez,jesse.hernandez6888@realemail.com,2023-09-06,EU,Referral,true
251,Jesse,Anderson,jesse.anderson4431@realemail.com,2021-07-12,US,Organic Search,true
252,Jordan,Anderson,jordan.anderson0862@realemail.com,2024-09-19,US,Organic Search,true
253,Jamie,Davis,jamie.davis4305@realemail.com,2021-02-15,AU,Organic Search,true
254,Quinn,Taylor,quinn.taylor5355@realemail.com,2023-09-01,CA,Organic Search,true
255,Jordan,Johnson,jordan.johnson7398@realemail.com,2020-06-06,EU,Organic Search,true
256,Drew,Gonzalez,drew.gonzalez3760@realemail.com,2023-11-20,CA,Influencer,true
257,Sage,Lopez,sage.lopez7006@realemail.com,2021-03-28,AU,Email,false
258,Sam,Hernandez,sam.hernandez7074@realemail.com,2020-04-29,CA,Direct,false
259,Sam,Rodriguez,sam.rodriguez7237@realemail.com,2023-04-09,EU,Organic Search,true
260,Hayden,Jones,hayden.jones8168@realemail.com,2022-04-30,EU,Paid Social,true
261,Logan,Jones,logan.jones7385@realemail.com,2023-10-07,UK,Organic Search,true
262,Quinn,Gonzalez,quinn.gonzalez8530@realemail.com,2021-11-26,AU,Influencer,false
263,Jordan,Moore,jordan.moore4619@realemail.com,2021-05-08,IN,Organic Search,true
264,Kai,Garcia,kai.garcia7151@realemail.com,2023-02-17,EU,Referral,true
265,Taylor,Johnson,taylor.johnson0279@realemail.com,2023-12-02,CA,Paid Social,true
266,Taylor,Gonzalez,taylor.gonzalez6085@realemail.com,2022-11-12,CA,Direct,false
267,Cameron,Williams,cameron.williams3016@realemail.com,2022-02-15,CA,Email,true
268,Rowan,Gonzalez,rowan.gonzalez6579@realemail.com,2024-06-10,AU,Paid Social,false
269,Sage,Martinez,sage.martinez5707@realemail.com,2021-08-12,CA,Direct,true
270,Taylor,Anderson,taylor.anderson7156@realemail.com,2022-12-29,IN,Organic Search,true
271,Quinn,Brown,quinn.brown8438@realemail.com,2023-12-06,AU,Referral,true
272,Sage,Anderson,sage.anderson0494@realemail.com,2020-07-31,IN,Direct,true
273,Taylor,Brown,taylor.brown4919@realemail.com,2023-11-21,CA,Email,true
274,Logan,Hernandez,logan.hernandez1938@realemail.com,2024-04-08,UK,Direct,true
275,Jesse,Hernandez,jesse.hernandez3123@realemail.com,2021-05-09,AU,Referral,true
276,Sage,Smith,sage.smith8784@realemail.com,2021-10-27,UK,Paid Social,false
277,Quinn,Lopez,quinn.lopez0363@realemail.com,2021-04-04,AU,Organic Search,true
278,Skyler,Taylor,skyler.taylor5634@realemail.com,2024-09-18,IN,Direct,false
279,Kai,Davis,kai.davis1305@realemail.com,2020-07-16,AU,Email,true
280,Quinn,Garcia,quinn.garcia0630@realemail.com,2023-06-03,EU,Referral,true
281,Jesse,Garcia,jesse.garcia3058@realemail.com,2020-02-20,IN,Organic Search,false
282,Cameron,Garcia,cameron.garcia8534@realemail.com,2020-04-26,UK,Organic Search,false
283,Jordan,Taylor,jordan.taylor6070@realemail.com,2023-04-15,CA,Paid Social,true
284,Quinn,Williams,quinn.williams6066@realemail.com,2020-03-13,EU,Influencer,true
285,Avery,Gonzalez,avery.gonzalez0806@realemail.com,2022-02-02,EU,Email,true
286,Sage,Lopez,sage.lopez5680@realemail.com,2020-10-09,IN,Influencer,false
287,Cameron,Smith,cameron.smith2026@realemail.com,2020-06-27,EU,Paid Social,false
288,Casey,Brown,casey.brown3252@realemail.com,2020-03-12,US,Email,true
289,Cameron,Anderson,cameron.anderson7416@realemail.com,2024-07-17,US,Email,true
290,Riley,Martin,riley.martin6732@realemail.com,2020-02-21,CA,Direct,true
291,Casey,Anderson,casey.anderson2782@realemail.com,2020-08-24,CA,Referral,true
292,Jordan,Gonzalez,jordan.gonzalez7116@realemail.com,2022-11-24,UK,Referral,false
293,Avery,Gonzalez,avery.gonzalez7839@realemail.com,2024-01-11,EU,Organic Search,true
294,Cameron,Miller,cameron.miller7535@realemail.com,2020-08-31,US,Organic Search,false
295,Kai,Williams,kai.williams5324@realemail.com,2024-08-25,IN,Organic Search,true
296,Alex,Wilson,alex.wilson8381@realemail.com,2023-09-04,IN,Referral,true
297,Drew,Johnson,drew.johnson7627@realemail.com,2022-05-12,CA,Email,false
298,Jesse,Gonzalez,jesse.gonzalez1670@realemail.com,2023-02-11,IN,Email,false
299,Sam,Rodriguez,sam.rodriguez8003@realemail.com,2024-07-17,AU,Organic Search,true
300,Casey,Rodriguez,casey.rodriguez6316@realemail.com,2022-02-09,UK,Referral,true
301,Morgan,Hernandez,morgan.hernandez2704@realemail.com,2021-09-26,IN,Referral,true
302,Kai,Anderson,kai.anderson9216@realemail.com,2021-01-17,CA,Email,false
303,Taylor,Brown,taylor.brown0194@realemail.com,2023-11-19,UK,Referral,true
304,Sam,Miller,sam.miller0059@realemail.com,2022-03-23,AU,Organic Search,true
305,Elliot,Martinez,elliot.martinez5341@realemail.com,2022-07-05,UK,Paid Social,true
306,Jesse,Taylor,jesse.taylor3382@realemail.com,2022-08-09,CA,Referral,true
307,Quinn,Lopez,quinn.lopez7037@realemail.com,2021-02-11,AU,Influencer,true
308,Cameron,Brown,cameron.brown0216@realemail.com,2020-10-16,IN,Influencer,true
309,Elliot,Miller,elliot.miller6916@realemail.com,2023-12-16,US,Influencer,true
310,Hayden,Lopez,hayden.lopez3470@realemail.com,2023-02-15,CA,Referral,true
311,Elliot,Jones,elliot.jones1999@realemail.com,2021-09-23,AU,Organic Search,true
312,Alex,Jackson,alex.jackson4565@realemail.com,2021-03-01,US,Influencer,true
313,Hayden,Anderson,hayden.anderson7137@realemail.com,2022-04-23,AU,Email,true
314,Drew,Smith,drew.smith3035@realemail.com,2024-12-12,CA,Email,true
315,Jordan,Williams,jordan.williams2874@realemail.com,2021-10-11,AU,Referral,true
316,Elliot,Jones,elliot.jones7226@realemail.com,2023-01-02,AU,Direct,true
317,Jamie,Miller,jamie.miller9439@realemail.com,2022-03-20,US,Referral,true
318,Kai,Johnson,kai.johnson6097@realemail.com,2021-06-27,US,Influencer,false
319,Sam,Garcia,sam.garcia4803@realemail.com,2021-12-06,IN,Email,true
320,Jamie,Wilson,jamie.wilson4628@realemail.com,2023-07-10,US,Organic Search,true
